well,treatment,t,eggs,juvs,concentration(uM),combinedwith,date
1G8,atropine1mM_solA50_200527,0,62,3,1000,solA50,200527
1A6,atropine1mM_solA50_200527,9,NA,51,1000,solA50,200527
1F1,atropine1mM_solA50_200527,9,NA,37,1000,solA50,200527
1G8,atropine1mM_solA50_200527,9,NA,31,1000,solA50,200527
1A5,atropine5mM_solA50_200527,0,56,3,5000,solA50,200527
1F12,atropine5mM_solA50_200527,0,70,7,5000,solA50,200527
1G4,atropine5mM_solA50_200527,0,71,2,5000,solA50,200527
1A5,atropine5mM_solA50_200527,9,NA,18,5000,solA50,200527
1F12,atropine5mM_solA50_200527,9,NA,19,5000,solA50,200527
1G4,atropine5mM_solA50_200527,9,NA,11,5000,solA50,200527
1C2,solA50_200527,0,60,5,0,solA50,200527
1C3,solA50_200527,0,93,8,0,solA50,200527
1D1,solA50_200527,0,87,2,0,solA50,200527
1C2,solA50_200527,9,NA,38,0,solA50,200527
1C3,solA50_200527,9,NA,55,0,solA50,200527
1D1,solA50_200527,9,NA,44,0,solA50,200527
1E4,atropine5mM_8bG1mM_200702,0,104,9,5000,8bcGMP1mM,200702
1G10,atropine5mM_8bG1mM_200702,0,105,6,5000,8bcGMP1mM,200702
1H2,atropine5mM_8bG1mM_200702,0,85,2,5000,8bcGMP1mM,200702
1E4,atropine5mM_8bG1mM_200702,11,NA,36,5000,8bcGMP1mM,200702
1G10,atropine5mM_8bG1mM_200702,11,NA,46,5000,8bcGMP1mM,200702
1H2,atropine5mM_8bG1mM_200702,11,NA,26,5000,8bcGMP1mM,200702
1E6,atropine5mM_PRE0.3_200702,0,103,0,5000,PRE0.3,200702
1G7,atropine5mM_PRE0.3_200702,0,89,1,5000,PRE0.3,200702
2G7,atropine5mM_PRE0.3_200702,0,76,4,5000,PRE0.3,200702
1E6,atropine5mM_PRE0.3_200702,11,NA,53,5000,PRE0.3,200702
1G7,atropine5mM_PRE0.3_200702,11,NA,52,5000,PRE0.3,200702
2G7,atropine5mM_PRE0.3_200702,11,NA,44,5000,PRE0.3,200702
1F11,PRD0.3_200702,0,118,5,0,PRE0.3,200702
1G6,PRD0.3_200702,0,85,9,0,PRE0.3,200702
1H12,PRD0.3_200702,0,85,10,0,PRE0.3,200702
1F11,PRD0.3_200702,11,NA,98,0,PRE0.3,200702
1G6,PRD0.3_200702,11,NA,79,0,PRE0.3,200702
1H12,PRD0.3_200702,11,NA,67,0,PRE0.3,200702
1C4,atropine5mM_solA5_200714,0,76,4,5000,solA5,200714
1D5,atropine5mM_solA5_200714,0,52,8,5000,solA5,200714
1G3,atropine5mM_solA5_200714,0,56,15,5000,solA5,200714
1C4,atropine5mM_solA5_200714,10,NA,20,5000,solA5,200714
1D5,atropine5mM_solA5_200714,10,NA,18,5000,solA5,200714
1G3,atropine5mM_solA5_200714,10,NA,26,5000,solA5,200714
1A11,solA5_200714,0,58,3,0,solA5,200714
1D3,solA5_200714,0,83,7,0,solA5,200714
1E6,solA5_200714,0,58,7,0,solA5,200714
1A11,solA5_200714,10,NA,26,0,solA5,200714
1D3,solA5_200714,10,NA,52,0,solA5,200714
1E6,solA5_200714,10,NA,43,0,solA5,200714
1B8,8cG_1mM_200527,0,107,10,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,0,106,6,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,0,58,5,0,8bcGMP1mM,200527
1B8,8cG_1mM_200527,9,NA,78,0,8bcGMP1mM,200527
1F8,8cG_1mM_200527,9,NA,71,0,8bcGMP1mM,200527
1G10,8cG_1mM_200527,9,NA,33,0,8bcGMP1mM,200527
D2,atrop_TRD_hsolA,0,70,13,5000,TRD_hsolA,200824
D11,atrop_TRD_hsolA,0,80,20,5000,TRD_hsolA,200824
1H9,atrop_TRD_hsolA,0,63,19,5000,TRD_hsolA,200824
D2,atrop_TRD_hsolA,10,NA,15,5000,TRD_hsolA,200824
D11,atrop_TRD_hsolA,10,NA,17,5000,TRD_hsolA,200824
1H9,atrop_TRD_hsolA,10,NA,21,5000,TRD_hsolA,200824
D8,atrop_TRD_lsolA,0,61,8,5000,TRD_lsolA,200824
1G2,atrop_TRD_lsolA,0,60,6,5000,TRD_lsolA,200824
1H8,atrop_TRD_lsolA,0,95,16,5000,TRD_lsolA,200824
D8,atrop_TRD_lsolA,10,NA,7,5000,TRD_lsolA,200824
1G2,atrop_TRD_lsolA,10,NA,13,5000,TRD_lsolA,200824
1H8,atrop_TRD_lsolA,10,NA,15,5000,TRD_lsolA,200824
D6,TRD_hsolA,0,60,7,0,TRD_hsolA,200824
1E6,TRD_hsolA,0,77,8,0,TRD_hsolA,200824
1G12,TRD_hsolA,0,86,13,0,TRD_hsolA,200824
D6,TRD_hsolA,10,NA,40,0,TRD_hsolA,200824
1E6,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1G12,TRD_hsolA,10,NA,53,0,TRD_hsolA,200824
1E7,TRD_lsolA,0,93,5,0,TRD_lsolA,200824
1F9,TRD_lsolA,0,81,13,0,TRD_lsolA,200824
1G7,TRD_lsolA,0,64,8,0,TRD_lsolA,200824
1E7,TRD_lsolA,10,NA,69,0,TRD_lsolA,200824
1F9,TRD_lsolA,10,NA,59,0,TRD_lsolA,200824
1G7,TRD_lsolA,10,NA,44,0,TRD_lsolA,200824
1B8,atrop_1000_TRD_hsolA,0,66,5,1000,TRD_hsolA,200911
1B8,atrop_1000_TRD_hsolA,10,NA,45,1000,TRD_hsolA,200911
1E3,atrop_1000_TRD_hsolA,0,67,3,1000,TRD_hsolA,200911
1E3,atrop_1000_TRD_hsolA,10,NA,50,1000,TRD_hsolA,200911
1A4,atrop_1000_TRD_hsolA,0,91,5,1000,TRD_hsolA,200911
1A4,atrop_1000_TRD_hsolA,10,NA,74,1000,TRD_hsolA,200911
1E11,atrop_1000_TRD_lsolA,0,82,5,1000,TRD_lsolA,200911
1E11,atrop_1000_TRD_lsolA,10,NA,49,1000,TRD_lsolA,200911
1F10,atrop_1000_TRD_lsolA,0,86,13,1000,TRD_lsolA,200911
1F10,atrop_1000_TRD_lsolA,10,NA,77,1000,TRD_lsolA,200911
1F7,atrop_1000_TRD_lsolA,0,75,2,1000,TRD_lsolA,200911
1F7,atrop_1000_TRD_lsolA,10,NA,60,1000,TRD_lsolA,200911
1A10,atrop_2500_TRD_hsolA,0,60,24,2500,TRD_hsolA,200911
1A10,atrop_2500_TRD_hsolA,10,NA,34,2500,TRD_hsolA,200911
1C8,atrop_2500_TRD_hsolA,0,104,5,2500,TRD_hsolA,200911
1C8,atrop_2500_TRD_hsolA,10,NA,18,2500,TRD_hsolA,200911
1E5,atrop_2500_TRD_hsolA,0,62,2,2500,TRD_hsolA,200911
1E5,atrop_2500_TRD_hsolA,10,NA,10,2500,TRD_hsolA,200911
1C7,atrop_2500_TRD_lsolA,0,80,2,2500,TRD_lsolA,200911
1C7,atrop_2500_TRD_lsolA,10,NA,13,2500,TRD_lsolA,200911
1D5,atrop_2500_TRD_lsolA,0,62,6,2500,TRD_lsolA,200911
1D5,atrop_2500_TRD_lsolA,10,NA,14,2500,TRD_lsolA,200911
1E8,atrop_2500_TRD_lsolA,0,100,4,2500,TRD_lsolA,200911
1E8,atrop_2500_TRD_lsolA,10,NA,11,2500,TRD_lsolA,200911
1A7,TRD_hsolA,0,66,2,0,TRD_hsolA,200911
1A7,TRD_hsolA,10,NA,63,0,TRD_hsolA,200911
1F12,TRD_hsolA,0,87,16,0,TRD_hsolA,200911
1F12,TRD_hsolA,10,NA,89,0,TRD_hsolA,200911
1G6,TRD_hsolA,0,116,4,0,TRD_hsolA,200911
1G6,TRD_hsolA,10,NA,92,0,TRD_hsolA,200911
1A12,TRD_lsolA,0,73,16,0,TRD_lsolA,200911
1A12,TRD_lsolA,10,NA,69,0,TRD_lsolA,200911
1C11,TRD_lsolA,0,80,7,0,TRD_lsolA,200911
1C11,TRD_lsolA,10,NA,73,0,TRD_lsolA,200911
1F3,TRD_lsolA,0,81,13,0,TRD_lsolA,200911
1F3,TRD_lsolA,10,NA,76,0,TRD_lsolA,200911
1C3,solA5_atrop2.5,0,96,0,2500,solA5,200918
1E4,solA5_atrop2.5,0,46,5,2500,solA5,200918
1E5,solA5_atrop2.5,0,71,6,2500,solA5,200918
1C3,solA5_atrop2.5,10,NA,8,2500,solA5,200918
1E4,solA5_atrop2.5,10,NA,7,2500,solA5,200918
1E5,solA5_atrop2.5,10,NA,15,2500,solA5,200918
1D8,solA5,0,71,6,0,solA5,200918
1E1,solA5,0,75,3,0,solA5,200918
1D8,solA5,10,NA,47,0,solA5,200918
1E1,solA5,10,NA,28,0,solA5,200918
