well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1E7,TRD_lsolA_0mM_atropine,0,93,5,atropine,TRD_lsolA,0mM
1F9,TRD_lsolA_0mM_atropine,0,81,13,atropine,TRD_lsolA,0mM
1G7,TRD_lsolA_0mM_atropine,0,64,8,atropine,TRD_lsolA,0mM
1E7,TRD_lsolA_0mM_atropine,10,NA,69,atropine,TRD_lsolA,0mM
1F9,TRD_lsolA_0mM_atropine,10,NA,59,atropine,TRD_lsolA,0mM
1G7,TRD_lsolA_0mM_atropine,10,NA,44,atropine,TRD_lsolA,0mM
1A12,TRD_lsolA_0mM_atropine,0,73,16,atropine,TRD_lsolA,0mM
1A12,TRD_lsolA_0mM_atropine,10,NA,69,atropine,TRD_lsolA,0mM
1C11,TRD_lsolA_0mM_atropine,0,80,7,atropine,TRD_lsolA,0mM
1C11,TRD_lsolA_0mM_atropine,10,NA,73,atropine,TRD_lsolA,0mM
1F3,TRD_lsolA_0mM_atropine,0,81,13,atropine,TRD_lsolA,0mM
1F3,TRD_lsolA_0mM_atropine,10,NA,76,atropine,TRD_lsolA,0mM
1B8,TRD_hsolA_1.0mM_atropine,0,66,5,atropine,TRD_hsolA,1.0mM
1B8,TRD_hsolA_1.0mM_atropine,10,NA,45,atropine,TRD_hsolA,1.0mM
1E3,TRD_hsolA_1.0mM_atropine,0,67,3,atropine,TRD_hsolA,1.0mM
1E3,TRD_hsolA_1.0mM_atropine,10,NA,50,atropine,TRD_hsolA,1.0mM
1A4,TRD_hsolA_1.0mM_atropine,0,91,5,atropine,TRD_hsolA,1.0mM
1A4,TRD_hsolA_1.0mM_atropine,10,NA,74,atropine,TRD_hsolA,1.0mM
1A10,TRD_hsolA_2.5mM_atropine,0,60,24,atropine,TRD_hsolA,2.5mM
1A10,TRD_hsolA_2.5mM_atropine,10,NA,34,atropine,TRD_hsolA,2.5mM
1C8,TRD_hsolA_2.5mM_atropine,0,104,5,atropine,TRD_hsolA,2.5mM
1C8,TRD_hsolA_2.5mM_atropine,10,NA,18,atropine,TRD_hsolA,2.5mM
1E5,TRD_hsolA_2.5mM_atropine,0,62,2,atropine,TRD_hsolA,2.5mM
1E5,TRD_hsolA_2.5mM_atropine,10,NA,10,atropine,TRD_hsolA,2.5mM
D2,TRD_hsolA_5.0mM_atropine,0,70,13,atropine,TRD_hsolA,5.0mM
D11,TRD_hsolA_5.0mM_atropine,0,80,20,atropine,TRD_hsolA,5.0mM
1H9,TRD_hsolA_5.0mM_atropine,0,63,19,atropine,TRD_hsolA,5.0mM
D2,TRD_hsolA_5.0mM_atropine,10,NA,15,atropine,TRD_hsolA,5.0mM
D11,TRD_hsolA_5.0mM_atropine,10,NA,17,atropine,TRD_hsolA,5.0mM
1H9,TRD_hsolA_5.0mM_atropine,10,NA,21,atropine,TRD_hsolA,5.0mM
D6,TRD_hsolA_0mM_atropine,0,60,7,atropine,TRD_hsolA,0mM
1E6,TRD_hsolA_0mM_atropine,0,77,8,atropine,TRD_hsolA,0mM
1G12,TRD_hsolA_0mM_atropine,0,86,13,atropine,TRD_hsolA,0mM
D6,TRD_hsolA_0mM_atropine,10,NA,40,atropine,TRD_hsolA,0mM
1E6,TRD_hsolA_0mM_atropine,10,NA,53,atropine,TRD_hsolA,0mM
1G12,TRD_hsolA_0mM_atropine,10,NA,53,atropine,TRD_hsolA,0mM
1A7,TRD_hsolA_0mM_atropine,0,66,2,atropine,TRD_hsolA,0mM
1A7,TRD_hsolA_0mM_atropine,10,NA,63,atropine,TRD_hsolA,0mM
1F12,TRD_hsolA_0mM_atropine,0,87,16,atropine,TRD_hsolA,0mM
1F12,TRD_hsolA_0mM_atropine,10,NA,89,atropine,TRD_hsolA,0mM
1G6,TRD_hsolA_0mM_atropine,0,116,4,atropine,TRD_hsolA,0mM
1G6,TRD_hsolA_0mM_atropine,10,NA,92,atropine,TRD_hsolA,0mM
