well,treatment,t,eggs,juvs,inhibitor,stimulator,conc_inh
1G11,TRD_hsolA_ketoconazole_200uM,10,NA,44,ketoconazole,TRD_hsolA,200uM
1H2,TRD_hsolA_ketoconazole_200uM,10,NA,25,ketoconazole,TRD_hsolA,200uM
D6,TRD_hsolA_ketoconazole_0uM,0,60,7,ketoconazole,TRD_hsolA,0uM
1E6,TRD_hsolA_ketoconazole_0uM,0,77,8,ketoconazole,TRD_hsolA,0uM
1G12,TRD_hsolA_ketoconazole_0uM,0,86,13,ketoconazole,TRD_hsolA,0uM
D6,TRD_hsolA_ketoconazole_0uM,10,NA,40,ketoconazole,TRD_hsolA,0uM
1E6,TRD_hsolA_ketoconazole_0uM,10,NA,53,ketoconazole,TRD_hsolA,0uM
1G12,TRD_hsolA_ketoconazole_0uM,10,NA,53,ketoconazole,TRD_hsolA,0uM
1A7,TRD_hsolA_ketoconazole_0uM,0,66,2,ketoconazole,TRD_hsolA,0uM
1A7,TRD_hsolA_ketoconazole_0uM,10,NA,63,ketoconazole,TRD_hsolA,0uM
1F12,TRD_hsolA_ketoconazole_0uM,0,87,16,ketoconazole,TRD_hsolA,0uM
1F12,TRD_hsolA_ketoconazole_0uM,10,NA,89,ketoconazole,TRD_hsolA,0uM
1G6,TRD_hsolA_ketoconazole_0uM,0,116,4,ketoconazole,TRD_hsolA,0uM
1G6,TRD_hsolA_ketoconazole_0uM,10,NA,92,ketoconazole,TRD_hsolA,0uM
E2,solA_5nM_ketoconazole_100uM,0,83,5,ketoconazole,solA_5nM,100uM
1F1,solA_5nM_ketoconazole_100uM,0,57,23,ketoconazole,solA_5nM,100uM
1H7,solA_5nM_ketoconazole_100uM,0,59,5,ketoconazole,solA_5nM,100uM
E2,solA_5nM_ketoconazole_100uM,10,NA,12,ketoconazole,solA_5nM,100uM
1F1,solA_5nM_ketoconazole_100uM,10,NA,20,ketoconazole,solA_5nM,100uM
1H7,solA_5nM_ketoconazole_100uM,10,NA,10,ketoconazole,solA_5nM,100uM
1F8,solA_5nM_ketoconazole_200uM,0,53,5,ketoconazole,solA_5nM,200uM
1F10,solA_5nM_ketoconazole_200uM,0,59,3,ketoconazole,solA_5nM,200uM
1G1,solA_5nM_ketoconazole_200uM,0,53,14,ketoconazole,solA_5nM,200uM
1F8,solA_5nM_ketoconazole_200uM,10,NA,6,ketoconazole,solA_5nM,200uM
1F10,solA_5nM_ketoconazole_200uM,10,NA,4,ketoconazole,solA_5nM,200uM
1G1,solA_5nM_ketoconazole_200uM,10,NA,15,ketoconazole,solA_5nM,200uM
1D8,solA_5nM_ketoconazole_0uM,0,71,6,ketoconazole,solA_5nM,0uM
1E1,solA_5nM_ketoconazole_0uM,0,75,3,ketoconazole,solA_5nM,0uM
1D8,solA_5nM_ketoconazole_0uM,10,NA,47,ketoconazole,solA_5nM,0uM
1E1,solA_5nM_ketoconazole_0uM,10,NA,28,ketoconazole,solA_5nM,0uM
1A11,solA_5nM_ketoconazole_0uM,0,58,3,ketoconazole,solA_5nM,0uM
1D3,solA_5nM_ketoconazole_0uM,0,83,7,ketoconazole,solA_5nM,0uM
1E6,solA_5nM_ketoconazole_0uM,0,58,7,ketoconazole,solA_5nM,0uM
1A11,solA_5nM_ketoconazole_0uM,10,NA,26,ketoconazole,solA_5nM,0uM
1D3,solA_5nM_ketoconazole_0uM,10,NA,52,ketoconazole,solA_5nM,0uM
1E6,solA_5nM_ketoconazole_0uM,10,NA,43,ketoconazole,solA_5nM,0uM
